layer,layer_index,module,shape,safety_norm,utility_norm,safe_norm,merged_utility_norm,projected_utility_norm,cos_safety_safe,cos_safety_utility,cos_utility_safe,cos_merged_projected,merged_utility_retained_ratio,merged_utility_damage_ratio,merged_total_energy_ratio,projected_utility_retained_ratio,projected_utility_damage_ratio,projected_total_energy_ratio,safety_max,safety_min,safety_mean,safety_var,utility_max,utility_min,utility_mean,utility_var,safe_max,safe_min,safe_mean,safe_var,merged_utility_max,merged_utility_min,merged_utility_mean,merged_utility_var,projected_utility_max,projected_utility_min,projected_utility_mean,projected_utility_var
layers.0.mlp.down_proj,0,down_proj,"[4096, 14336]",0.07739254087209702,0.057351965457201004,0.07771400362253189,0.09845863282680511,5.859334851265885e-05,-0.002202587202191353,0.0558377243578434,-0.0010325480252504349,0.002295370912179351,1.1387434740019131,0.0,2.949655771255493,1.0887662499387917e-12,0.9999999999989112,1.0434392834213213e-06,0.0001769213267834857,-0.0001909687416628003,-5.046746354153697e-10,1.0314112758313954e-10,9.334718197351322e-05,-0.0001031296924338676,7.733394480347044e-10,5.6600654718685917e-11,0.00016703906294424087,-0.00016400174354203045,-2.225258866062063e-09,1.0400551947453707e-10,0.000225812109420076,-0.0002449404273647815,2.5315011198401294e-10,1.6695229920760113e-10,1.235846696090448e-07,-1.2587345565862051e-07,1.676859280770604e-12,5.905934577752649e-17
layers.0.mlp.gate_proj,0,gate_proj,"[14336, 4096]",0.14641141891479492,0.09568608552217484,0.1387334018945694,0.17778465151786804,9.203100489685312e-05,0.0007635722868144512,0.039664704352617264,0.0009718835935927927,0.001135423080995679,1.110986656724947,0.0,3.4451706409454346,8.545276789988038e-13,0.9999999999991455,9.244068905900349e-07,0.00015787294250912964,-0.0001659332774579525,1.1489406759324083e-08,3.6898847866062567e-10,0.00012930641241837293,-0.00011427278514020145,1.6630012922291826e-09,1.576374308864814e-10,0.0001338303554803133,-0.00014128303155303001,1.220957002168177e-09,3.3127872667293445e-10,0.00020452984608709812,-0.00020891966414637864,1.3132831711004656e-08,5.430878524670391e-10,8.876037327354425e-08,-9.370321407686788e-08,8.097761827405292e-13,1.4572112626079628e-16
layers.0.mlp.up_proj,0,up_proj,"[14336, 4096]",0.1448400616645813,0.09457375109195709,0.13615471124649048,0.17588581144809723,2.9473456379491836e-05,0.00016555398178752512,0.040538489818573,0.0003146911330986768,0.0003019444993697107,1.1136210990116666,0.0,3.451714515686035,9.400146391582528e-15,0.9999999999999906,9.69542881534835e-08,0.00016065739328041673,-0.00015600293409079313,-3.5345582016788057e-09,3.611104193446124e-10,0.00011843135143863037,-0.00010886216477956623,-3.877549836772687e-09,1.5396929564648332e-10,0.00015699020877946168,-0.00012718609650619328,-2.07623279679936e-10,3.1900859731592845e-10,0.0001985798735404387,-0.0001907118858071044,-7.395815959654328e-09,5.314580997506368e-10,3.3960340317662485e-08,-2.751307448534135e-08,-4.491338331520482e-14,1.492798954840158e-17
layers.0.self_attn.q_proj,0,q_proj,"[4096, 4096]",0.06782577186822891,0.05188237875699997,0.07115501165390015,0.0896458849310875,8.462058758595958e-05,0.001187060959637165,0.14667341113090515,0.00163368321955204,0.001856534043326974,1.3741223467977903,0.0,2.985384702682495,7.069177463295322e-12,0.9999999999929309,2.6587972570268903e-06,0.00016203186532948166,-0.00016790877270977944,7.31316007751559e-10,2.7472105146308934e-10,0.00012368796160444617,-0.00012194063310744241,1.2796494974764983e-09,1.607619454224718e-10,0.00014531126362271607,-0.00014676133287139237,1.133039662093438e-09,3.0232832903820395e-10,0.0002361434162594378,-0.000274503167020157,1.9502568449070168e-09,4.799362574026134e-10,1.7278026120948198e-07,-1.7450445000122272e-07,1.3472253911420151e-12,4.2743347161260927e-16
layers.0.self_attn.v_proj,0,v_proj,"[1024, 4096]",0.03966676443815231,0.02612307108938694,0.03959016129374504,0.04869302362203598,7.839284808142111e-05,-0.009406376630067825,0.06674402207136154,-0.003001677105203271,0.009249876253306866,1.190695833718621,0.0,3.474517583847046,8.109793332354981e-11,0.9999999999189021,9.005437277664896e-06,0.00025930957053788006,-0.00019959437486249954,-1.0784932058527374e-08,3.752386734667823e-10,0.0001207426394103095,-0.0001265721075469628,-9.979123305470239e-09,1.627415424643175e-10,0.00024236849276348948,-0.00025314337108284235,1.526634285653472e-08,3.737898601752221e-10,0.00026321058976463974,-0.00025864073541015387,-2.0373482456648162e-08,5.654483548056533e-10,5.012500992052082e-07,-4.79914717743668e-07,-3.022893740878274e-11,1.4655590634707295e-15
layers.1.mlp.down_proj,1,down_proj,"[4096, 14336]",0.07810303568840027,0.062091466039419174,0.07612231373786926,0.10482028126716614,0.0008699327008798718,-0.010477560572326183,0.1252632737159729,-0.014212636277079582,0.01601630635559559,1.2998633521920624,0.0,2.856228828430176,3.8693471469869375e-08,0.9999999613065286,0.00019670654728543013,0.00016438834427390248,-0.00018457999976817518,-1.9129550721252997e-10,1.0539411704479917e-10,0.00012748144217766821,-0.00012418068945407867,-4.973643719097254e-10,6.645411304573301e-11,0.00015320695820264518,-0.00016416764992754906,3.916749147236942e-10,1.0012173035089944e-10,0.00028318233671598136,-0.00023879477521404624,-6.88156309713861e-10,1.8980814142643965e-10,1.8758332771540154e-06,-1.7505927871752647e-06,-4.47541092726822e-12,1.3071987577399549e-14
layers.1.mlp.gate_proj,1,gate_proj,"[14336, 4096]",0.14592967927455902,0.09637848287820816,0.14019586145877838,0.17701967060565948,1.3350531844480429e-05,0.00013380375457927585,0.02826528064906597,0.00013999197108205408,0.0001798353041522205,1.077636026121823,0.0,3.3653743267059326,3.675630974169943e-16,0.9999999999999997,1.9171828569142235e-08,0.00015413068467751145,-0.0001550902088638395,-1.3035263979332967e-09,3.665578673928138e-10,0.00011954961519222707,-0.00013218204549048096,1.5822825272238106e-09,1.599761156878543e-10,0.00016484467778354883,-0.00016623488045297563,6.390342033313345e-09,3.3833444379460786e-10,0.00018847110914066434,-0.00018513410759624094,2.776854857167166e-10,5.38379452130755e-10,1.5694995525450395e-08,-1.5827358978981465e-08,6.084296478095497e-13,3.067035371270295e-18
layers.1.mlp.up_proj,1,up_proj,"[14336, 4096]",0.14188431203365326,0.09630683064460754,0.13868938386440277,0.1732250601053238,3.291290340712294e-05,1.9475384760880843e-05,0.023171676322817802,0.0003453448589425534,0.00020588512415997684,1.061684931548882,0.0,3.2271783351898193,1.3612610518323723e-14,0.9999999999999863,1.1667315646946008e-07,0.0001474077143939212,-0.00014349589764606208,-3.2785678616420455e-09,3.4649152991228505e-10,0.0001424150395905599,-0.00012707526911981404,-7.617491637468277e-10,1.597629806227019e-10,0.00015723190153948963,-0.00016023076022975147,7.974459287352076e-11,3.310456075933388e-10,0.0001774936099536717,-0.0001851324923336506,-4.032738587511631e-09,5.155836313441853e-10,3.730956166236865e-08,-3.8021163106805034e-08,1.8922511059687834e-14,1.8640040302210873e-17
layers.1.self_attn.q_proj,1,q_proj,"[4096, 4096]",0.0757511705160141,0.04684379696846008,0.08235104382038116,0.09058725833892822,0.00011328967229928821,-0.00019619740487542003,0.07897573709487915,0.0024226808454841375,0.0010785636259242892,1.2426678899374224,0.0,3.7391457557678223,3.4215849403820153e-11,0.9999999999657841,5.8494292716204654e-06,0.00020698133448604494,-0.00021400493278633803,-1.402995497556958e-10,3.426405825734946e-10,0.0001019122137222439,-9.907006460707635e-05,-6.262823593061739e-11,1.3101106310919874e-10,0.00023062166292220354,-0.00020955322543159127,-2.4731877656947177e-10,4.049246771220538e-10,0.00023113748466130346,-0.0002285012451466173,-9.034151204900809e-11,4.898694228039346e-10,3.1726614224680816e-07,-2.882823082472896e-07,-3.4023660082892204e-13,7.663400358967642e-16
layers.1.self_attn.v_proj,1,v_proj,"[1024, 4096]",0.03793874382972717,0.02667280100286007,0.041958920657634735,0.047200970351696014,5.976490501780063e-05,-0.0028981827199459076,0.048234131187200546,-0.002241160487756133,0.003610465209931135,1.1272726757457718,0.0,3.13152813911438,2.5204693080387185e-11,0.9999999999747953,5.020423486712389e-06,0.00021270112483762205,-0.00022668061137665063,1.4334010645100648e-09,3.432508999257067e-10,0.00016167272406164557,-0.00013216695515438914,-9.568824621553063e-10,1.6966290872222345e-10,0.00024889601627364755,-0.00020932492043357342,9.354653940363278e-09,4.1984082876922457e-10,0.0002526954049244523,-0.0002698387543205172,4.994525903967428e-10,5.313041673282726e-10,2.9815507218700077e-07,-3.5451873259262356e-07,-1.3324437039829995e-11,8.517794551929174e-16
